model,horizon_h,MAE,RMSE,R2,PI90_Coverage,seed,cutoff_index
ARIMA,6,11.1117037793491,13.019941266138307,-0.03857715123432337,,18,86094
ARIMA,12,25.588218656863855,31.254768287336464,-0.8126608231652568,,18,86094
BiLSTM-Hybrid,3,15.348960642049326,15.953638953028351,-285.3334203240315,,18,86094
BiLSTM-Hybrid,6,13.07328807354268,14.269639306064992,-0.24751766734292358,,18,86094
BiLSTM-Hybrid,12,22.88776337597805,25.6562459357315,-0.22143455271216905,,18,86094
DiffSTG,3,15.12104640731642,15.572803705814248,-271.82624216729977,0.0,18,86094
DiffSTG,6,9.336504220028088,11.36106028434459,0.20921496456051192,0.5,18,86094
DiffSTG,12,10.078666395681065,13.66438313217801,0.6535312712247603,0.75,18,86094
ARIMA,3,3.0393639155732957,3.1387864423150575,-13.777970495691227,,19,81572
ARIMA,6,6.088574474716932,7.43049898103867,-1.8848234308560259,,19,81572
ARIMA,12,10.63266772164558,11.979148111367694,-3.360413269522711,,19,81572
BiLSTM-Hybrid,3,6.039572917627527,6.498194428344124,-62.339796242843924,,19,81572
BiLSTM-Hybrid,6,13.043755763120487,15.507246820112659,-11.56471602588707,,19,81572
BiLSTM-Hybrid,12,13.503781607393949,16.176418408671704,-6.9513437021876845,,19,81572
